ident,uf,estrato_pof,tipo_situacao_reg,energia_kcal,ptn,chotot,fibra,lip,colest,agsat,agmono,agpoli,agtrans,calcio,ferro,sodio,magnesio,fosforo,potassio,cobre,zinco,vita_rae,tiamina,riboflavina,niacina,piridoxamina,cobalamina,vitd,vite,vitc,folato,idade,sexo,raca,anos_estudo,peso,altura,tipo_domicilio,tipo_piso
1300017971113,338,33852,26,4551.300001144409,308.4942971765995,451.767796933651,57.55359995365143,179.9514012765139,2137.822083950043,50.89670112077147,54.58009956777096,52.94260042533279,1.881600017659366,1675.469279408455,31.99910009920131,7385.363120526075,720.4170038700104,4269.600958585739,5867.399387508631,2.733000023290515,24.82079952277127,446.190612308681,2.256100033409894,3.770599981769919,32.10009964555502,2.614699977450073,29.16519988328219,16.84999999403954,15.49250026326627,206.7348016500473,1273.082021772862,60,1,4,6,70,166,1,1
1300017971116,312,31248,24,3304.899984359741,184.0303002595902,406.9112955331802,35.91709983348846,112.2129001915455,762.4701018333435,43.45519939996302,31.91559991240501,22.09310014173389,2.511100027477369,1881.660774707794,22.66159967228305,5911.250236511231,441.9364986419678,2759.681482315064,3677.103896528482,1.820500023663044,18.46829978443566,398.285603120923,2.500100016593933,3.416600009426475,22.78609991818667,2.805200001224876,13.60819996148348,5.248000085353851,5.979500014334917,411.0343065857887,897.1629989147186,63,2,4,16,90,173,1,1
1300024461111,507,50934,39,3927.579986572266,181.301599830389,493.3145978730172,36.88539910316467,144.719401717186,925.1720292568207,47.93629974871874,42.85519969463348,39.44469950348139,3.021800024900585,1472.206092596054,23.31599970534444,6742.088829994202,504.0135080814362,2498.201632976532,4738.468925476074,2.142899979837239,14.01949998736382,568.1079940795898,2.077200030907989,4.327999986708164,32.70099973678589,1.94300005864352,11.94600000232458,5.927500076126307,8.874100055545569,9.426999986171722,573.1536899805069,81,1,4,0,65,155,1,3
1300024821111,442,44710,68,5275.633964538574,189.2568227481097,856.9125558882952,46.98589999228716,131.6134008169174,553.6739039421082,37.55440007522702,38.91419982910156,40.93559991568327,4.637200065888465,810.8137074708939,20.38881971035153,4585.610279560089,620.1835048422217,2104.12611079216,5470.260632991791,2.111799996346235,17.69190031290054,224.2992937117815,2.409500025212765,1.63670002296567,42.30499929189682,1.665700010955334,8.457200169563294,2.930400114506483,8.831100054085255,452.8833952099085,827.1292036175728,73,2,4,0,70,163,1,1
1300062991211,312,31248,24,2597.539976119995,131.4874000372365,326.9134988188744,33.51380038261414,92.12330069951713,792.5200037956238,26.47550056688488,25.84450026229024,25.85250049456954,2.637199964374304,380.7680945545435,18.66740040108562,3876.796402662993,325.9936039634049,1637.334282636643,2594.324211001396,1.311500011943281,14.4498001486063,205.3040015995503,1.201500002294779,1.856000011786819,25.23250053822994,1.384000010788441,6.941999793052673,2.828000009059906,8.623499977402389,16.79349985718727,678.3378074765205,61,1,1,0,63,160,1,3
1300110541012,169,17030,13,1705.11999130249,64.8395999353379,230.6255946159363,9.209200024604797,60.11120140552521,154.9300055503845,16.59119982644916,14.78040000796318,21.49639972671866,2.168000020086765,330.5031934082508,10.73139966465533,2105.635560393333,176.9634028449655,769.7841907739639,1536.150383591652,.7003999929875135,4.094399929046631,129.1315970420837,.9568000007420778,1.71720003336668,12.04599994421005,1.541000034660101,6.749999940395355,2.740000009536743,5.253800008445978,31.44820049405098,367.1593941450119,79,2,4,0,89,160,1,1
1300123641311,221,22321,34,3101.369995117188,142.8337007164955,530.553609251976,39.01289939880371,53.73960050567985,483.4400119781494,16.31249983794987,15.24849949032068,16.29999995231628,.864499993622303,1128.84929728508,9.300999909639359,811.8268997073174,587.3024010658264,1785.905992031097,6004.745086669922,1.754399977624416,7.697599947452545,558.2013087272644,.6782000157982111,.3399999924004078,19.46199980378151,1.329200010746718,21.58799988031387,9.752000093460083,7.864400027319789,123.8849996328354,406.1794048547745,67,2,4,1,58,163,1,1
1300123641314,156,15756,24,2905.969980239868,150.0617033084855,411.8672070503235,26.94530045986176,78.76640051603317,531.1059033870697,22.73279948532581,21.85249984264374,26.69169992022216,1.640800009481609,1187.731297120452,10.20259974710643,2326.137586653233,388.6376991085708,1714.424262881279,3559.32071852684,1.225699997507036,7.90580016374588,28.40579980611801,.9496999969705939,.8124000071547926,22.78429952263832,.9237000085413456,24.1875,9.654700197279453,7.111200073733926,4.615899920463562,360.758095741272,87,1,4,1,65,173,1,1
1300123641511,364,36764,56,5244.220024108887,253.2217030804604,750.8616965413094,89.42000007629395,155.9813007656485,821.5400190353394,38.74239938613027,63.3344975374639,41.66230034828186,1.770999977365136,2010.766200512648,22.5221998244524,2578.567014604807,877.5684122368693,3158.296193361282,7852.637181997299,2.961499994620681,16.41920009255409,1393.106421485543,1.732700041495264,1.320799989625812,35.58399973809719,1.753500010818243,36.50000005960465,15.8120002746582,19.68569989595562,107.8712002038956,926.5766081213951,80,2,4,0,80,175,1,1
1300123911311,338,33982,26,2377.225997924805,161.5447406619787,249.344616651535,11.71690003946424,83.0087011307478,571.4128071069717,24.72090029343963,26.98290054500103,19.62940029334277,1.303100008517504,786.0863379836083,12.4504799497081,3271.517839461565,288.4588982611895,1621.725865244865,2552.909720927477,1.171100009698421,10.53689977221075,57.16280002146959,1.062599999364466,.8961000116541982,31.38010038435459,.6122000133618712,16.42459978163242,6.20199990272522,5.111000009812415,4.235600054264069,323.0438995957375,76,2,4,4,75,178,1,1
